symptoms,disease
"vomiting,body ache,cough",Malaria
"body ache,vomiting,chills",Malaria
"body ache,nausea,sore throat",Malaria
"body ache,muscle pain,runny nose",Malaria
"chills,runny nose,weakness",Allergy
"muscle pain,cough,weakness",Flu
"shortness of breath,muscle pain,sore throat",COVID-19
"cough,body ache,sore throat",Malaria
"body ache,chills,headache",Flu
"sore throat,fever,headache",Flu
"runny nose,body ache,vomiting",Malaria
"headache,runny nose,sore throat",Allergy
"headache,shortness of breath,nausea",COVID-19
"weakness,shortness of breath,vomiting",Malaria
"cough,headache,runny nose",Allergy
"muscle pain,runny nose,weakness",Flu
"vomiting,runny nose,cough",Malaria
"sore throat,muscle pain,vomiting",Malaria
"sore throat,shortness of breath,chills",COVID-19
"headache,shortness of breath,fever",Flu
"runny nose,body ache,shortness of breath",Malaria
"shortness of breath,sore throat,headache",COVID-19
"sore throat,chills,nausea",Flu
"shortness of breath,fever,chills",Flu
"sore throat,chills,fever",Flu
"chills,weakness,fever",Flu
"chills,headache,body ache",Flu
"fever,body ache,cough",Malaria
"nausea,vomiting,weakness",Malaria
"vomiting,runny nose,chills",Malaria
"runny nose,chills,weakness",Malaria
"vomiting,weakness,shortness of breath",Malaria
"vomiting,body ache,weakness",Malaria
"nausea,headache,body ache",Malaria
"headache,fever,sore throat",Flu
"shortness of breath,chills,sore throat",COVID-19
"sore throat,nausea,weakness",Malaria
"fever,vomiting,nausea",Malaria
"runny nose,muscle pain,headache",Flu
"vomiting,fever,shortness of breath",Malaria
"fever,headache,chills",Flu
"chills,nausea,muscle pain",Flu
"sore throat,vomiting,muscle pain",Malaria
"chills,shortness of breath,sore throat",COVID-19
"vomiting,muscle pain,shortness of breath",Malaria
"headache,body ache,fever",Flu
"muscle pain,vomiting,shortness of breath",Malaria
"nausea,runny nose,chills",Flu
"shortness of breath,body ache,nausea",Malaria
"nausea,muscle pain,shortness of breath",COVID-19
"muscle pain,sore throat,vomiting",Malaria
"sore throat,weakness,body ache",Malaria
"body ache,muscle pain,fever",Flu
"fever,sore throat,chills",Flu
"headache,muscle pain,shortness of breath",Flu
"shortness of breath,muscle pain,body ache",COVID-19
"sore throat,fever,headache",Flu
"cough,sore throat,chills",COVID-19
"body ache,nausea,chills",Malaria
"shortness of breath,chills,fever",Flu
"body ache,chills,fever",Flu
"fever,weakness,muscle pain",Flu
"shortness of breath,weakness,sore throat",COVID-19
"weakness,runny nose,nausea",Malaria
"runny nose,fever,body ache",Malaria
"chills,nausea,runny nose",Allergy
"fever,weakness,muscle pain",Flu
"nausea,weakness,sore throat",Malaria
"weakness,headache,sore throat",Malaria
"nausea,fever,sore throat",Cold
"vomiting,headache,sore throat",Malaria
"weakness,sore throat,runny nose",Malaria
"body ache,headache,nausea",Malaria
"vomiting,chills,shortness of breath",Malaria
"nausea,muscle pain,sore throat",Flu
"headache,shortness of breath,muscle pain",Flu
"muscle pain,vomiting,weakness",Malaria
"vomiting,sore throat,body ache",Malaria
"runny nose,shortness of breath,body ache",COVID-19
"cough,sore throat,runny nose",COVID-19
"nausea,shortness of breath,sore throat",COVID-19
"body ache,runny nose,muscle pain",Malaria
"body ache,sore throat,chills",Malaria
"runny nose,muscle pain,weakness",Flu
"fever,cough,chills",Flu
"nausea,chills,cough",COVID-19
"runny nose,muscle pain,shortness of breath",COVID-19
"sore throat,headache,chills",Flu
"headache,weakness,sore throat",Malaria
"shortness of breath,runny nose,weakness",COVID-19
"headache,runny nose,sore throat",Allergy
"sore throat,nausea,vomiting",Malaria
"cough,headache,runny nose",Allergy
"vomiting,shortness of breath,sore throat",Malaria
"chills,cough,vomiting",Malaria
"body ache,muscle pain,shortness of breath",Malaria
"cough,sore throat,headache",COVID-19
"runny nose,headache,nausea",Flu
"vomiting,sore throat,muscle pain",Malaria
"cough,muscle pain,nausea",COVID-19
"muscle pain,runny nose,nausea",Flu
"weakness,shortness of breath,cough",COVID-19
"sore throat,headache,body ache",Malaria
"headache,sore throat,nausea",Flu
"sore throat,muscle pain,chills",Flu
"nausea,cough,muscle pain",COVID-19
"nausea,runny nose,shortness of breath",COVID-19
"runny nose,shortness of breath,headache",COVID-19
"cough,vomiting,shortness of breath",COVID-19
"shortness of breath,chills,body ache",COVID-19
"body ache,fever,weakness",Malaria
"weakness,chills,cough",Malaria
"chills,vomiting,cough",Malaria
"nausea,sore throat,fever",Flu
"runny nose,vomiting,cough",Malaria
"nausea,weakness,cough",Malaria
"fever,chills,headache",Flu
"sore throat,runny nose,chills",Flu
"sore throat,cough,runny nose",COVID-19
"weakness,vomiting,muscle pain",Malaria
"nausea,sore throat,headache",Flu
"weakness,body ache,nausea",Malaria
"sore throat,headache,weakness",Malaria
"chills,weakness,body ache",Malaria
"runny nose,fever,weakness",Malaria
"weakness,fever,runny nose",Malaria
"shortness of breath,runny nose,weakness",COVID-19
"fever,muscle pain,headache",Flu
"fever,headache,body ache",Flu
"weakness,shortness of breath,body ache",Malaria
"sore throat,nausea,fever",Flu
"headache,fever,vomiting",Flu
"weakness,sore throat,vomiting",Malaria
"shortness of breath,vomiting,fever",COVID-19
"weakness,nausea,chills",Malaria
"runny nose,shortness of breath,chills",COVID-19
"runny nose,headache,weakness",Flu
"body ache,shortness of breath,headache",Malaria
"fever,sore throat,nausea",Cold
"cough,runny nose,sore throat",COVID-19
"cough,runny nose,body ache",Malaria
"nausea,sore throat,weakness",Malaria
"fever,runny nose,weakness",Malaria
"body ache,sore throat,runny nose",Malaria
"vomiting,weakness,fever",Malaria
"fever,sore throat,vomiting",Malaria
"chills,headache,weakness",Flu
"vomiting,nausea,fever",Malaria
"vomiting,nausea,headache",Malaria
"body ache,fever,shortness of breath",Malaria
"muscle pain,nausea,shortness of breath",COVID-19
"cough,nausea,vomiting",Malaria
"runny nose,fever,sore throat",Cold
"vomiting,muscle pain,fever",Flu
"fever,chills,shortness of breath",Flu
"nausea,body ache,chills",Malaria
"body ache,nausea,fever",Malaria
"vomiting,body ache,muscle pain",Malaria
"shortness of breath,vomiting,chills",COVID-19
"shortness of breath,nausea,body ache",Malaria
"muscle pain,shortness of breath,body ache",COVID-19
"body ache,vomiting,nausea",Malaria
"shortness of breath,headache,vomiting",COVID-19
"shortness of breath,cough,runny nose",COVID-19
"muscle pain,runny nose,nausea",Flu
"muscle pain,chills,sore throat",Flu
"vomiting,shortness of breath,sore throat",Malaria
"vomiting,fever,headache",Flu
"nausea,fever,headache",Flu
"headache,weakness,body ache",Malaria
"sore throat,runny nose,body ache",Malaria
"headache,weakness,muscle pain",Flu
"fever,nausea,sore throat",Cold
"sore throat,runny nose,headache",Flu
"body ache,muscle pain,sore throat",Malaria
"cough,nausea,runny nose",COVID-19
"weakness,shortness of breath,body ache",Malaria
"vomiting,shortness of breath,headache",Malaria
"body ache,chills,shortness of breath",Malaria
"body ache,headache,runny nose",Malaria
"fever,weakness,chills",Flu
"sore throat,fever,body ache",Malaria
"sore throat,shortness of breath,nausea",COVID-19
"muscle pain,shortness of breath,runny nose",COVID-19
"vomiting,shortness of breath,weakness",Malaria
"vomiting,runny nose,headache",Malaria
"muscle pain,nausea,weakness",Malaria
"nausea,runny nose,muscle pain",Flu
"muscle pain,body ache,nausea",Malaria
"shortness of breath,nausea,weakness",Malaria
"shortness of breath,chills,cough",COVID-19
"shortness of breath,headache,nausea",COVID-19
"weakness,sore throat,muscle pain",Malaria
"weakness,nausea,cough",Malaria
"vomiting,shortness of breath,muscle pain",Malaria
"vomiting,fever,weakness",Malaria
"fever,nausea,weakness",Malaria
"chills,muscle pain,headache",Flu
"nausea,muscle pain,body ache",Malaria
"vomiting,runny nose,muscle pain",Malaria
"headache,body ache,shortness of breath",Malaria
"muscle pain,nausea,headache",Flu
"cough,weakness,vomiting",Malaria
"cough,weakness,body ache",Malaria
"chills,body ache,headache",Flu
"chills,headache,fever",Flu
"nausea,shortness of breath,fever",COVID-19
"sore throat,runny nose,fever",Allergy
"runny nose,headache,fever",Flu
"muscle pain,weakness,fever",Flu
"weakness,fever,chills",Flu
"fever,muscle pain,sore throat",Flu
"vomiting,muscle pain,shortness of breath",Malaria
"muscle pain,sore throat,chills",Flu
"cough,shortness of breath,body ache",COVID-19
"sore throat,runny nose,cough",COVID-19
"vomiting,shortness of breath,sore throat",Malaria
"weakness,chills,vomiting",Malaria
"headache,weakness,fever",Flu
"sore throat,weakness,headache",Malaria
"nausea,cough,runny nose",COVID-19
"headache,runny nose,shortness of breath",Allergy
"chills,vomiting,muscle pain",Flu
"muscle pain,runny nose,weakness",Flu
"fever,body ache,runny nose",Malaria
"chills,cough,vomiting",Malaria
"weakness,fever,chills",Flu
"headache,sore throat,runny nose",Allergy
"cough,chills,shortness of breath",COVID-19
"cough,body ache,nausea",Malaria
"runny nose,fever,body ache",Malaria
"nausea,vomiting,fever",Malaria
"muscle pain,body ache,vomiting",Malaria
"muscle pain,nausea,chills",Flu
"headache,shortness of breath,body ache",COVID-19
"chills,shortness of breath,muscle pain",Flu
"body ache,headache,muscle pain",Flu
"nausea,shortness of breath,cough",COVID-19
"weakness,nausea,vomiting",Malaria
"shortness of breath,nausea,headache",COVID-19
"headache,vomiting,cough",Malaria
"muscle pain,shortness of breath,cough",COVID-19
"body ache,chills,muscle pain",Flu
"muscle pain,headache,body ache",Flu
"runny nose,weakness,nausea",Malaria
"body ache,chills,muscle pain",Flu
"fever,cough,shortness of breath",COVID-19
"shortness of breath,fever,runny nose",COVID-19
"chills,muscle pain,headache",Flu
"fever,sore throat,weakness",Malaria
"chills,sore throat,muscle pain",Flu
"cough,runny nose,nausea",COVID-19
"headache,shortness of breath,body ache",COVID-19
"chills,sore throat,cough",COVID-19
"cough,body ache,fever",Malaria
"shortness of breath,fever,muscle pain",Flu
"nausea,shortness of breath,sore throat",COVID-19
"vomiting,chills,nausea",Malaria
"muscle pain,fever,nausea",Flu
"nausea,sore throat,weakness",Malaria
"cough,weakness,fever",COVID-19
"nausea,weakness,vomiting",Malaria
"sore throat,muscle pain,chills",Flu
"vomiting,body ache,muscle pain",Malaria
"weakness,chills,runny nose",Allergy
"body ache,vomiting,runny nose",Malaria
"cough,vomiting,body ache",Malaria
"vomiting,shortness of breath,nausea",Malaria
"vomiting,chills,headache",Flu
"headache,muscle pain,chills",Flu
"headache,vomiting,sore throat",Malaria
"body ache,cough,shortness of breath",COVID-19
"runny nose,chills,sore throat",Flu
"fever,weakness,vomiting",Malaria
"headache,weakness,cough",Malaria
"cough,runny nose,chills",COVID-19
"headache,muscle pain,vomiting",Flu
"muscle pain,headache,runny nose",Flu
"muscle pain,sore throat,nausea",Flu
"sore throat,weakness,shortness of breath",COVID-19
"muscle pain,shortness of breath,weakness",COVID-19
"weakness,muscle pain,cough",Malaria
"sore throat,chills,shortness of breath",COVID-19
"shortness of breath,sore throat,runny nose",COVID-19
"headache,sore throat,shortness of breath",COVID-19
"fever,shortness of breath,sore throat",COVID-19
"sore throat,muscle pain,weakness",Flu
"cough,weakness,shortness of breath",COVID-19
"cough,body ache,fever",Malaria
"vomiting,cough,runny nose",Malaria
"weakness,nausea,runny nose",Malaria
"headache,fever,vomiting",Flu
"muscle pain,sore throat,weakness",Flu
"nausea,cough,body ache",Malaria
"shortness of breath,headache,vomiting",COVID-19
"chills,sore throat,body ache",Malaria
"cough,fever,chills",Flu
"body ache,sore throat,shortness of breath",Malaria
"headache,shortness of breath,weakness",COVID-19
"runny nose,vomiting,weakness",Malaria
"headache,fever,chills",Flu
"cough,muscle pain,sore throat",COVID-19
"weakness,headache,nausea",Malaria
"shortness of breath,headache,chills",Flu
"vomiting,body ache,nausea",Malaria
"nausea,vomiting,runny nose",Malaria
"sore throat,shortness of breath,weakness",COVID-19
"fever,cough,sore throat",COVID-19
"nausea,chills,body ache",Malaria
"body ache,vomiting,weakness",Malaria
"runny nose,cough,weakness",COVID-19
"shortness of breath,nausea,vomiting",Malaria
"runny nose,headache,chills",Flu
"vomiting,muscle pain,shortness of breath",Malaria
"sore throat,runny nose,vomiting",Malaria
"headache,muscle pain,nausea",Flu
"headache,sore throat,vomiting",Malaria
"fever,chills,shortness of breath",Flu
"runny nose,nausea,weakness",Malaria
"sore throat,cough,fever",COVID-19
"sore throat,headache,weakness",Malaria
"headache,cough,fever",Flu
"weakness,sore throat,cough",Malaria
"muscle pain,shortness of breath,nausea",COVID-19
"cough,shortness of breath,weakness",COVID-19
"muscle pain,runny nose,headache",Flu
"shortness of breath,muscle pain,headache",Flu
"cough,chills,vomiting",Malaria
"chills,headache,cough",Flu
"muscle pain,headache,weakness",Flu
"runny nose,shortness of breath,sore throat",COVID-19
"vomiting,chills,weakness",Malaria
"chills,muscle pain,weakness",Flu
"runny nose,cough,muscle pain",COVID-19
"weakness,nausea,runny nose",Malaria
"fever,headache,runny nose",Flu
"headache,runny nose,sore throat",Allergy
"vomiting,sore throat,cough",Malaria
"runny nose,sore throat,headache",Flu
"vomiting,body ache,sore throat",Malaria
"sore throat,cough,fever",COVID-19
"weakness,sore throat,cough",Malaria
"weakness,cough,shortness of breath",COVID-19
"chills,muscle pain,sore throat",Flu
"sore throat,nausea,weakness",Malaria
"fever,runny nose,sore throat",Cold
"cough,runny nose,weakness",COVID-19
"headache,runny nose,body ache",Allergy
"vomiting,fever,nausea",Malaria
"weakness,cough,headache",Malaria
"body ache,sore throat,weakness",Malaria
"sore throat,chills,muscle pain",Flu
"body ache,weakness,chills",Malaria
"cough,vomiting,muscle pain",Malaria
"vomiting,chills,headache",Flu
"fever,sore throat,cough",COVID-19
"sore throat,cough,headache",COVID-19
"fever,weakness,headache",Flu
"body ache,muscle pain,nausea",Malaria
"fever,runny nose,muscle pain",Flu
"vomiting,muscle pain,body ache",Malaria
"headache,cough,body ache",Malaria
"chills,body ache,weakness",Malaria
"muscle pain,sore throat,body ache",Malaria
"cough,body ache,sore throat",Malaria
"vomiting,shortness of breath,runny nose",Malaria
"shortness of breath,runny nose,sore throat",COVID-19
"weakness,shortness of breath,fever",COVID-19
"fever,runny nose,headache",Flu
"fever,muscle pain,runny nose",Flu
"vomiting,sore throat,nausea",Malaria
"fever,muscle pain,vomiting",Flu
"vomiting,chills,cough",Malaria
"fever,body ache,nausea",Malaria
"headache,cough,chills",Flu
"vomiting,fever,shortness of breath",Malaria
"weakness,fever,sore throat",Malaria
"fever,vomiting,shortness of breath",Malaria
"shortness of breath,sore throat,runny nose",COVID-19
"body ache,weakness,cough",Malaria
"fever,sore throat,headache",Flu
"muscle pain,runny nose,headache",Flu
"headache,muscle pain,vomiting",Flu
"muscle pain,shortness of breath,runny nose",COVID-19
"runny nose,muscle pain,body ache",Malaria
"weakness,cough,vomiting",Malaria
"chills,headache,cough",Flu
"cough,weakness,body ache",Malaria
"runny nose,sore throat,weakness",Malaria
"shortness of breath,fever,vomiting",COVID-19
"fever,chills,weakness",Flu
"fever,chills,cough",Flu
"muscle pain,fever,weakness",Flu
"muscle pain,shortness of breath,weakness",COVID-19
"nausea,runny nose,vomiting",Malaria
"sore throat,vomiting,nausea",Malaria
"fever,cough,runny nose",COVID-19
"vomiting,sore throat,headache",Malaria
"nausea,weakness,vomiting",Malaria
"shortness of breath,muscle pain,cough",COVID-19
"shortness of breath,sore throat,vomiting",COVID-19
"shortness of breath,chills,fever",Flu
"vomiting,weakness,chills",Malaria
"body ache,shortness of breath,sore throat",Malaria
"cough,runny nose,chills",COVID-19
"weakness,headache,vomiting",Malaria
"headache,chills,runny nose",Flu
"nausea,vomiting,chills",Malaria
"sore throat,muscle pain,body ache",Malaria
"weakness,muscle pain,runny nose",Malaria
"sore throat,body ache,fever",Malaria
"weakness,muscle pain,fever",Flu
"weakness,nausea,fever",Malaria
"vomiting,runny nose,nausea",Malaria
"body ache,muscle pain,sore throat",Malaria
"headache,weakness,chills",Flu
"sore throat,runny nose,weakness",Malaria
"shortness of breath,body ache,chills",COVID-19
"headache,fever,runny nose",Flu
"nausea,muscle pain,weakness",Malaria
"body ache,chills,headache",Flu
"fever,headache,chills",Flu
"chills,weakness,sore throat",Malaria
